Depth,Vp,Vs,Density,Vshale,Peff,Sw,Litho
3268.5716,3273.3225098,2034.7496338,2.3113999367,0.0020034395,0.1651778668,0.0,5.0
3268.724,3266.4365234,2105.3781738,2.2904999256,-0.017377591,0.1764094681,0.0,5.0
3268.8764,3195.7421875,2086.8293457,2.2592999935,0.0018000109,0.1848365068,0.0,5.0
3269.0288,3105.6247559,1941.7907715,2.2235000134,-0.018186208,0.2022924572,0.0,5.0
3269.1812,3031.2854004,1914.7989502,2.2023000717,-0.02030172,0.2108751684,0.0,5.0
3269.3336,2967.6767578,1885.067749,2.1842000484,-0.047262061,0.2236002982,0.0,5.0
3269.486,2936.1049805,1884.8964844,2.1777000427,-0.049306903,0.2266106755,0.0,5.0
3269.6384,2966.036377,1846.6022949,2.1982998848,0.0034120823,0.2074783742,0.1178220212,5.0
3269.7908,3036.0258789,1765.5247803,2.247699976,0.0443258621,0.1811453402,0.2672670186,5.0
3269.9432,3091.6760254,1722.274292,2.3303000927,0.1482482851,0.1348981559,0.289176017,5.0
3270.0956,3099.734375,1744.9039307,2.38560009,0.3237448037,0.1408156157,0.3069899976,0.0
3270.248,3030.3903809,1808.6691895,2.3801000118,0.4600896537,0.1141216159,0.3166619837,0.0
3270.4004,2941.4345703,1849.0982666,2.3203001022,0.4944792688,0.1241269708,0.3451080024,0.0
3270.5528,2872.0388184,1830.7559814,2.2692000866,0.3846586049,0.1690606326,0.3653309941,0.0
3270.7052,2843.291748,1764.7835693,2.2442998886,0.2989189625,0.2025924325,0.3020879924,0.0
3270.8576,2860.4140625,1711.4432373,2.2330999374,0.2322189659,0.1497607827,0.2275800109,5.0
3271.01,2868.6113281,1702.973999,2.2156999111,0.1460862011,0.172168389,0.1991699934,5.0
3271.1624,2851.0095215,1728.7996826,2.2112998962,0.0977016985,0.1834219545,0.1041240096,5.0
3271.3148,2816.4226074,1761.8701172,2.2139000893,0.0502741262,0.1921313107,0.1205760092,5.0
3271.4672,2779.1479492,1792.8156738,2.220400095,0.0535034649,0.1891564131,0.1781280041,5.0
3271.6196,2751.3347168,1765.8878174,2.2277998924,0.0638999939,0.1844647378,0.2235120088,5.0
3271.772,2765.8376465,1672.3151855,2.2504000664,0.1112741306,0.1675499529,0.2894970179,5.0
3271.9244,2824.1208496,1610.5024414,2.3155999184,0.256712079,0.1845053434,0.3463379741,0.0
3272.0768,2896.7629395,1595.7530518,2.3929998875,0.4551223814,0.1111550704,0.3718230128,0.0
3272.2292,2970.6269531,1629.9090576,2.4528999329,0.5950914025,0.0687419251,0.3535619974,0.0
3272.3816,3040.9389648,1798.048584,2.4653999805,0.583843112,0.0676790029,0.368088007,0.0
3272.534,3109.328125,1847.8986816,2.4414000511,0.4611017406,0.0950308442,0.3833459914,0.0
3272.6864,3182.6315918,1895.9975586,2.4019999504,0.3976551592,0.1197805926,0.3881610036,0.0
3272.8388,3239.4584961,1922.7712402,2.3612999916,0.3518379331,0.1439660639,0.3860070109,0.0
3272.9912,3273.4985352,1897.9586182,2.3296999931,0.340062052,0.1584982425,0.387252003,0.0
3273.1436,3301.9138184,1894.4796143,2.3173000813,0.264618963,0.1818281859,0.4004400074,0.0
3273.296,3313.1049805,1892.5964355,2.3248999119,0.1967017055,0.1951326728,0.4183050096,0.0
3273.4484,3309.7370605,1890.947998,2.3399999142,0.1837792844,0.1912288815,0.405764997,0.0
3273.6008,3300.7729492,1885.2520752,2.3529999256,0.1724362224,0.1877387911,0.3999449909,0.0
3273.7532,3297.0527344,1849.0769043,2.3629000187,0.2101844847,0.1747071892,0.3889949918,0.0
3273.9056,3310.9848633,1814.2619629,2.3875999451,0.1692051739,0.1720457673,0.3615809977,0.0
3274.058,3315.5158691,2043.0761719,2.3975999355,0.1934672445,0.1624126732,0.3225270212,0.0
3274.2104,3296.8530273,2225.5109863,2.3791999817,0.1234207153,0.1226549521,0.2911919951,5.0
3274.3628,3238.7321777,2164.0671387,2.3178999424,0.083275862,0.1494779438,0.228117004,5.0
3274.5152,3107.4169922,1944.1713867,2.2453000546,-0.001781036,0.1907920241,0.0888360217,5.0
3274.6676,2983.359375,1765.5820313,2.195100069,-0.032968983,0.2162997723,0.0,5.0
3274.82,2921.7456055,1685.456665,2.1831998825,-0.033010352,0.2209473252,0.0,5.0
3274.9724,2908.8413086,1767.491333,2.2044999599,-0.00066379,0.20598571,0.0,5.0
3275.1248,2934.6096191,1932.5092773,2.214799881,0.0186793227,0.198189795,0.0,5.0
3275.2772,2974.7180176,1928.8184814,2.2142000198,-0.003582757,0.2029130608,0.0,5.0
3275.4296,3013.7785645,1838.2807617,2.1970999241,-0.024987943,0.2138550729,0.0,5.0
3275.582,3034.2790527,1793.8729248,2.1896998882,-0.038984496,0.2196766585,0.0,5.0
3275.7344,3016.630127,1800.3597412,2.1896998882,-0.009868951,0.2135206312,0.0,5.0
3275.8868,2981.4423828,1832.7528076,2.2030000687,-0.032653447,0.2131552398,0.0,5.0
3276.0392,2973.2409668,1806.6461182,2.2221000195,-0.055262074,0.2102161646,0.0,5.0
3276.1916,3013.1977539,1792.8936768,2.2539000511,-0.052717242,0.1970766038,0.0,5.0
3276.344,3093.4677734,1804.1032715,2.2737998962,-0.016110355,0.1825931519,0.0,5.0
3276.4964,3167.0690918,1873.0688477,2.2801001072,0.0026620668,0.1768486798,0.0,5.0
3276.6488,3193.425293,1908.8380127,2.2802000046,-0.022537922,0.1812786162,0.0,5.0
3276.8012,3208.7927246,1899.6951904,2.2941000462,-0.041881036,0.1792428344,0.0,5.0
3276.9536,3223.6162109,1872.8341064,2.3183000088,-0.010049985,0.1645428687,0.0,5.0
3277.106,3219.7648926,1838.6278076,2.3187000751,-0.000358614,0.1628130525,0.1195350289,5.0
3277.2584,3184.9328613,1875.2987061,2.2943000793,0.0254879333,0.1675792634,0.1540890038,5.0
3277.4108,3124.1928711,1910.2412109,2.2592999935,0.0060930909,0.1840415597,0.1791509986,5.0
3277.5632,3087.654541,1912.4814453,2.2353999615,-0.008943098,0.195925355,0.1483770013,5.0
