	Vp	Vs	Density
505	3219.7648925999997	1838.6278075999999	2.3187000750999998
506	3184.9328613000002	1875.2987061000001	2.2943000793
507	3124.1928711	1910.2412109000002	2.2592999935
508	3087.654541	1912.4814452999997	2.2353999615
509	3089.5012207	1880.7546387000002	2.2288999556999998
510	3118.7648925999997	1835.2081299000001	2.234400034
511	3150.840332	1806.4128417999998	2.2458999157
512	3161.7697754	1810.2794188999999	2.2578999996
513	3174.0478516	1894.4030762000002	2.2704999447
514	3192.1176758	1931.0009765999998	2.271600008
515	3193.425293	1934.7835693	2.2713999748
516	3188.111084	1929.3726807	2.2725999355
517	3177.4821776999997	1935.465332	2.2764000893
518	3134.5800781	1938.3037109000002	2.2753000259
519	3088.1894531	1920.0822754	2.2702000141
520	3077.7929688	1880.6560059	2.2690999508000003
521	3092.7866211	1846.7008057	2.2725999355
522	3121.9816895	1868.9445801	2.2683000565
523	3134.3190918	1941.5805664000002	2.2662999630000003
524	3113.7434082	1982.5279540999998	2.2599999905000003
525	3081.7512207	1982.5474854000001	2.2592000961000003
526	3050.1105957	1957.673584	2.2622001171
527	3022.4692383	1919.3942871	2.2708001137
528	3015.1887207	1878.6727295000003	2.2692000866
529	3050.0344238000002	1850.3297119000003	2.2662000656
530	3140.338623	1872.5993652	2.2939999103999997
531	3264.4528809	1991.0585938000002	2.3273000717
532	3364.0231934	2149.7854004	2.3368999958
556	2859.0993651999997	1803.0936279	2.2709999084
557	2914.4174805	1745.2486572	2.2546999454
558	2963.0895996	1710.90625	2.2488000393000003
559	2968.8996582	1667.1096191	2.2488999367
561	3002.3078613000002	1707.5772704999997	2.2585999966
563	3042.3564453000004	1731.0008545000003	2.261300087
564	3045.9682617	1728.1350098	2.2613999844
565	3037.1938477	1729.8671875	2.2630999088
566	3016.2658691	1739.5760498	2.2676999569
567	3004.9716796999996	1759.3591309	2.2720999718
568	2995.6950684	1769.8376465	2.2697999477
569	2982.3291016	1773.3911133000001	2.2648999691
570	2992.3574219	1772.8216553	2.2590000628999998
571	3013.1083984	1748.3399658	2.255300045
572	3058.0639648	1737.2827148	2.2509000301
573	3073.3024901999997	1738.9914551	2.2558000088
574	3039.4318848000003	1755.7401123	2.2569999695
575	3010.3823242	1768.0819092	2.2574000359
576	3004.7111816	1759.4343262000002	2.2518999577
577	3022.1936035	1760.7362061000001	2.2555999756
578	3043.7143555	1761.1848145	2.2528998852
579	3065.2512207	1774.4121094	2.2544000149000003
580	3085.5385742	1809.1673584000002	2.2644000053
581	3111.029541	1808.5350342	2.2734999657
582	3132.0612793	1802.3057860999998	2.2792000771
583	3133.307373	1801.074585	2.2739999294
584	3132.6953125	1805.2445068	2.2783999443000003
585	3131.8459473000003	1814.2015380999997	2.2762999535
586	3116.3413086	1818.0201415999998	2.274600029
